canonical_name,synonyms,category,evidence_level,evidence_summary,dose_min,dose_max,dose_unit,dose_notes,perimenopause_specific,primary_claim,ssri_interaction,thyroid_interaction,bleeding_risk,liver_caution,hormone_active,pregnancy_safe,regulatory_risk,research_gaps
Lemon Balm,Melissa officinalis; as Lemon Balm; Melissa,Botanical,Some,"RCTs show anxiolytic and sleep benefits, often combined with valerian. Cognitive benefits in some small trials. Well tolerated. Antiviral (herpes simplex) topical evidence.",300,900,mg,Often combined with valerian for synergistic sleep benefit; may cause mild sedation — caution with sedative medications; effects within days for acute anxiety; well tolerated at studied doses.,No,Anxiety/sleep,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are lacking; most evidence from general anxiety and sleep populations.
Hops,Humulus lupulus; as Hops; hop strobiles; 8-prenylnaringenin,Botanical,Some,"Some RCTs for menopausal symptoms and sleep, often combined with other botanicals. 8-prenylnaringenin (8-PN) is most potent known phytoestrogen. Oestrogenic activity significant. Often in hop-valerian combinations.",60,500,mg,8-prenylnaringenin is strongest known phytoestrogen — avoid in oestrogen-sensitive conditions; often combined with valerian and passionflower; sedative effects noted; caution in oestrogen-sensitive cancers.,Yes,Sleep/menopause,No,No,No,No,Yes,No,Medium,Long-term safety in oestrogen-sensitive populations and RCT evidence quality for standalone hops is limited.
Wild Yam,Dioscorea villosa; as Wild Yam; Mexican yam; Dioscorea extract,Botanical,Limited,Wild yam contains diosgenin which is a precursor to progesterone in laboratory synthesis but this conversion DOES NOT occur in the human body. RCT evidence for menopausal symptom relief is absent or negative. Widely marketed but evidence base poor.,100,1200,mg,Diosgenin in wild yam cannot be converted to progesterone in the body — marketing claims of 'natural progesterone' are misleading; no meaningful RCT evidence for menopause symptom relief; caution in oestrogen-sensitive conditions due to some oestrogenic activity.,Yes,None established,No,No,No,No,Yes,Unknown,Medium,Evidence for claimed hormonal benefits is essentially absent; widely marketed but poorly evidenced for perimenopause.
Fenugreek,Trigonella foenum-graecum; as Fenugreek; methi; Testofen; Furocyst,Botanical,Some,"RCTs show benefit for blood glucose, libido in women, and lactation support. Testosterone-modulating and oestrogenic properties. Testofen standardised extract has female sexual function RCT evidence.",300,600,mg,Oestrogenic and testosterone-modulating — avoid in oestrogen-sensitive conditions; may lower blood glucose — caution in diabetics; odour in sweat/urine is common harmless side effect; Testofen (600mg/day) has most female libido evidence.,Yes,Sexual function,No,No,No,No,Yes,Unknown,Low,Long-term safety and perimenopause-specific RCTs beyond libido are limited.
Tribulus Terrestris,Tribulus terrestris; as Tribulus; puncture vine; Tribulus extract,Botanical,Some,RCTs show benefit for female sexual dysfunction and premenopausal/perimenopausal women specifically. Does not significantly raise testosterone in human RCTs contrary to popular claims. Ovarium compositum data.,250,750,mg,Female sexual function evidence more convincing than testosterone-raising claims; standardised to saponins (protodioscin); may have mild oestrogenic activity — caution in oestrogen-sensitive conditions; most sexual function RCTs in women 40-55.,Yes,Sexual function,No,No,No,No,Possible,Unknown,Low,Standardisation of active compounds across products varies; long-term safety data limited.
Schisandra,Schisandra chinensis; as Schisandra; five-flavour berry; Wu Wei Zi,Botanical,Limited,"Limited but growing RCT evidence for liver protection, adaptogenic stress response, and some menopausal symptom relief. Traditional Chinese medicine ingredient.",100,1500,mg,Standardised to schisandrins and gomisins; liver-protective — ironically also liver caution at very high doses; limited Western clinical evidence; most studies from Chinese literature.,Yes,Adaptogenic support,No,No,No,Yes,No,Unknown,Low,Limited Western independent RCTs; standardisation and quality control of preparations vary widely.
Siberian Ginseng,Eleutherococcus senticosus; as Siberian Ginseng; Eleuthero; Eleutherokokk,Botanical,Some,"RCTs show adaptogenic benefits for stress, fatigue, and immune function. Distinct from Panax ginseng — different active compounds (eleutherosides not ginsenosides). Well tolerated.",400,1200,mg,Different plant from Panax ginseng; standardised to eleutherosides; generally well tolerated; mild hypertensive effect in some individuals — caution in hypertension; some evidence for menopausal fatigue.,No,Stress/fatigue,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are limited; distinction from Panax ginseng evidence often conflated.
Panax Ginseng,Korean ginseng; Asian ginseng; Ginseng; as Panax Ginseng; G115,Botanical,Some,Multiple RCTs for cognitive function energy immune function and menopausal symptoms. G115 standardised extract has most evidence. Some evidence for female sexual function and hot flushes.,200,400,mg,G115 extract (4% ginsenosides) most evidence-based; stimulating - avoid taking late in day; may interact with warfarin and blood pressure medications; mild oestrogenic activity; avoid in oestrogen-sensitive conditions; effects within 8-12 weeks.,Yes,Energy/cognition,No,No,Possible,No,Possible,No,Low,Optimal dose duration and safety in oestrogen-sensitive perimenopausal women not established.
Licorice Root,Glycyrrhiza glabra; as Licorice Root; DGL; deglycyrrhizinated licorice; Glycyrrhiza uralensis,Botanical,Some,Standard licorice has significant oestrogenic and anti-androgenic activity. RCTs show hot flush reduction. DGL form has glycyrrhizin removed — reduced hormonal and blood pressure effects. High-dose licorice raises blood pressure and causes hypokalaemia.,150,600,mg,High-dose licorice with glycyrrhizin raises blood pressure and lowers potassium — significant risk; DGL (deglycyrrhizinated) is safer for GI applications; oestrogenic activity — avoid in hormone-sensitive conditions; upper tolerable limit for glycyrrhizin is 2mg/kg/day.,Yes,Hot flush reduction,No,No,No,No,Yes,No,Medium,Long-term cardiovascular safety in perimenopausal women with standard licorice not established; DGL lacks hot flush RCT evidence.
Turmeric/Curcumin,Curcuma longa; Curcumin; BCM-95; Meriva; Theracurmin; as Turmeric; as Curcumin,Botanical,Some,"Multiple small RCTs show anti-inflammatory, joint, cognitive, and mood benefits. Poor bioavailability of standard curcumin limits efficacy — enhanced forms (BCM-95, Meriva, Theracurmin) have 20-185x higher bioavailability. Perimenopause relevance for inflammation and mood.",500,2000,mg,"Standard curcumin has very poor bioavailability (<1%); always use enhanced bioavailability form (BCM-95, Meriva, Theracurmin, or with piperine); may interact with anticoagulants and chemotherapy at high doses; anti-platelet effects; liver safety at very high doses.",No,Anti-inflammatory,No,No,Yes,Yes,No,Yes,Low,Post-2022: several perimenopause-specific mood and cognitive RCTs published with enhanced forms; optimal form and dose not standardised.
Pycnogenol,French maritime pine bark extract; Pinus pinaster; as Pycnogenol; OPC extract,Botanical,Some,"Multiple RCTs specifically in perimenopausal women show reduction in hot flushes, sleep improvement, and cognitive function. Antioxidant and anti-inflammatory mechanism. MASCULA and other specific trials available.",50,200,mg,Standardised to OPCs; well tolerated; mild anticoagulant effect; pycnogenol has most perimenopause RCT data of any single proprietary extract; manufactured by Horphag Research.,Yes,Menopause symptom relief,No,No,Possible,No,No,Yes,Low,Long-term safety data beyond 12 months in perimenopausal women limited; comparison to standard HRT not established.
Grape Seed Extract,Proanthocyanidins; OPC; as Grape Seed Extract; Leucoselect; MegaNatural,Botanical,Some,"RCTs show cardiovascular, antioxidant, and blood pressure benefits. Some cognitive evidence. Commonly confused with pine bark OPCs. Standardised to proanthocyanidins.",100,400,mg,Standardised to proanthocyanidins (OPCs); mild anticoagulant effect; take with food; generally well tolerated; different from red wine resveratrol though both from grapes.,No,Antioxidant/cardiovascular,No,No,Possible,No,No,Yes,Low,Perimenopause-specific RCTs are limited compared to Pycnogenol.
Milk Thistle,Silybum marianum; as Milk Thistle; Silymarin; Legalon,Botanical,Strong,Strong evidence for liver protection in toxic liver injury and cirrhosis. Some evidence for fatty liver disease. EFSA and ESCOP monograph supported. Liver protective properties well established. Limited perimenopause-specific data but relevant for supplement liver safety.,140,420,mg,"Standardised to silymarin (70-80%); MHRA licensed products available in UK; generally very well tolerated; liver protective — important for women taking other hepatotoxic supplements (black cohosh, kava); minimal drug interactions.",No,Liver protection,No,No,No,No,No,Yes,Low,Perimenopause-specific outcomes beyond liver protection not studied in RCTs.
Bacopa Monnieri,Bacopa; Brahmi; as Bacopa Monnieri; CDRI08; Synapsa,Nootropic,Some,"Multiple RCTs show improvements in memory, attention, and cognitive processing speed. Effects accumulate over 8-12 weeks. Well-studied extract CDRI08 (Synapsa) has most evidence. Perimenopause cognitive fog relevance.",300,600,mg,Standardised to bacosides (20%); CDRI08 (Synapsa) is most evidence-based extract; effects take 8-12 weeks of consistent use; may cause GI upset — take with food; cholinergic mechanism may be relevant for cognitive fog.,Yes,Memory improvement,No,No,No,No,No,Yes,Low,Perimenopause-specific cognitive RCTs with standardised extracts are limited; optimal dose for age-related cognitive decline in women 40-55 not established.
Alpha-GPC,Alpha-glycerylphosphorylcholine; Choline alfoscerate; as Alpha-GPC; L-alpha-GPC,Nootropic,Some,RCTs show cognitive benefits in Alzheimer's disease and age-related cognitive decline. Acetylcholine precursor with high bioavailability. Some evidence for physical performance. Regulated as medicine in some EU countries.,400,1200,mg,Regulated as medicine (not supplement) in some EU countries — regulatory risk varies; 50% form requires double the dose of 99% form; generally well tolerated; supports acetylcholine synthesis important for memory.,No,Cognitive support,No,No,No,No,No,Yes,Medium,Perimenopause-specific cognitive RCTs are limited; regulatory status varies across EU jurisdictions.
Citicoline,CDP-choline; Cytidine 5-diphosphocholine; as Citicoline; as CDP-Choline; Cognizin,Nootropic,Some,"Multiple RCTs show cognitive benefits including memory, attention, and brain energy. Cognizin branded form has most evidence. Precursor to both phosphatidylcholine and acetylcholine. Well tolerated.",250,1000,mg,Cognizin is most-studied branded form; well tolerated; cognitive benefits seen in multiple populations including older adults; take in morning as may be activating; different mechanism from Alpha-GPC but both increase acetylcholine.,No,Cognitive support,No,No,No,No,No,Yes,Low,Perimenopause-specific cognitive decline RCTs are lacking.
Phosphatidylserine (Nootropic),PS; Sharp-PS; as Phosphatidylserine; soy PS; sunflower PS,Nootropic,Strong,"Multiple RCTs demonstrate memory, attention, and cognitive benefits. HPA axis regulation evidence. FDA qualified health claim for cognitive decline. Well tolerated.",100,400,mg,Soy or sunflower derived (bovine no longer used); EFSA health claim recognised; take with meals; most consistent evidence of any nootropic ingredient for memory in adults.,Yes,Memory/cognition,No,No,No,No,No,Yes,Low,Perimenopause-specific long-term trials are lacking; existing evidence mostly in cognitive impairment populations.
Vinpocetine,Ethyl apovincaminate; as Vinpocetine; cavinton,Nootropic,Limited,Limited RCT evidence for cerebral blood flow and cognitive function. Approved as prescription medicine in Hungary and some countries. Regulatory grey area in UK/EU as supplement.,5,30,mg,Regulatory status uncertain in UK/EU — may be classified as medicine rather than supplement; some evidence for cerebral blood flow; anti-platelet effects; generally well tolerated at studied doses.,No,Cognitive support,No,No,Yes,No,No,Unknown,High,Regulatory status in UK/EU is uncertain; limited perimenopause-specific evidence.
Huperzine A,as Huperzine A; Huperzia serrata extract,Nootropic,Limited,Acetylcholinesterase inhibitor; limited RCT evidence from Chinese trials for Alzheimer's and cognitive impairment. Mechanism similar to pharmaceutical cholinesterase inhibitors (donepezil). Thin evidence base for healthy adult use.,50,200,mcg,"Strong cholinesterase inhibitor — avoid with Alzheimer's medications (donepezil, rivastigmine); seizure risk at high doses; narrow therapeutic window; limited high-quality independent RCTs; regulatory caution advised.",No,Cognitive support,No,No,No,No,No,Unknown,High,Safety profile and drug interactions in perimenopausal women not established; limited independent high-quality RCTs.
Saffron,Crocus sativus; as Saffron; Affron; Safranal; Crocin,Botanical,Some,Multiple small RCTs show significant antidepressant effects comparable to low-dose SSRIs for mild to moderate depression. Some perimenopause-specific data for mood and sexual function. Affron branded extract has most evidence.,28,90,mg,Affron extract (3.5% lepticrosalide) has most perimenopause mood evidence; well tolerated; avoid in pregnancy (uterine stimulant); anti-platelet effects at high doses; sexual function evidence in SSRI-induced sexual dysfunction.,Yes,Mood/antidepressant,Possible,No,Possible,No,No,No,Low,Post-2022: growing perimenopause-specific mood and hot flush evidence from Affron trials; long-term safety beyond 12 weeks limited.
Spearmint,Mentha spicata; as Spearmint; spearmint tea extract,Botanical,Limited,Limited RCT evidence for anti-androgenic activity in PCOS (reducing free testosterone). Relevant for perimenopausal women with androgen excess symptoms (hirsutism). Spearmint tea studies primarily.,200,900,mg,Anti-androgenic through 5-alpha-reductase inhibition; most evidence from spearmint tea consumption (2 cups/day); standardised extract evidence limited; PCOS evidence most consistent.,No,Anti-androgen,No,No,No,No,Yes,Yes,Low,Perimenopausal androgen excess RCTs specifically are very limited.
Fennel,Foeniculum vulgare; as Fennel; Fennel seed extract,Botanical,Limited,Very limited RCT evidence for menopausal symptom relief and dysmenorrhoea. Phytoestrogenic activity documented. Traditional women's herb with limited modern clinical evidence.,100,480,mg,Phytoestrogenic — avoid in oestrogen-sensitive conditions; limited modern RCT quality; dysmenorrhoea evidence from some small trials.,Yes,Menopause symptoms,No,No,No,No,Yes,Unknown,Medium,Very limited independent RCT evidence; oestrogenic safety profile in hormone-sensitive women poorly characterised.
Flaxseed Lignans,Lignan; Secoisolariciresinol diglucoside; SDG; as Flaxseed Lignans; flaxseed extract,Botanical,Some,RCTs show modest hot flush reduction in postmenopausal women. Phytoestrogenic lignan activity via enterolignans. Cardiovascular and gut health evidence. Generally well tolerated.,360,3000,mg,"Converted to enterolignans (enterodiol, enterolactone) by gut bacteria — variable response depending on microbiome; whole flaxseed and lignan extract have different bioavailability; phytoestrogenic — caution in oestrogen-sensitive conditions.",Yes,Hot flush reduction,No,No,No,No,Yes,Yes,Low,Individual variation in lignan metabolism based on gut microbiome composition makes response unpredictable.
Moringa,Moringa oleifera; as Moringa; drumstick tree; Moringa leaf extract,Botanical,Limited,"Limited RCT evidence for blood glucose, anti-inflammatory, and nutritional supplementation in deficient populations. Growing interest for women's health but clinical evidence thin.",500,2000,mg,Nutritionally dense but clinical evidence thin; standardisation of extracts varies; blood glucose lowering — caution in diabetics; limited perimenopause-specific data.,No,Nutritional support,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are essentially absent; mechanistic and nutritional claims outpace clinical evidence.
DHEA,Dehydroepiandrosterone; as DHEA; prasterone; Intrarosa,Hormone,Strong,"Multiple RCTs show DHEA supplementation increases testosterone and oestrogen, improves sexual function, bone density, and mood in perimenopausal and postmenopausal women. Prescription medicine in UK. Intrarosa is licensed vaginal DHEA. Oral DHEA regulated differently.",10,100,mg,"Licensed as prescription medicine in UK for GSM (Intrarosa, vaginal); oral DHEA is MHRA grey area; age and baseline DHEA level important for dosing; highly hormone-active — avoid in oestrogen/androgen-sensitive cancers; 25-50mg/day commonly used in research.",Yes,Sexual/hormonal health,No,No,No,No,Yes,No,High,Optimal oral dose for perimenopausal women without hormone-sensitive conditions; long-term cardiovascular safety not established.
7-Keto DHEA,7-Keto; 7-oxo-DHEA; as 7-Keto DHEA; 3-acetyl-7-oxo-DHEA,Hormone,Limited,Metabolite of DHEA that does not convert to sex hormones. Limited RCT evidence for weight management and immune function. Lower hormonal risk than DHEA. Limited perimenopause-specific data.,50,200,mg,Does not convert to oestrogen or testosterone — potentially safer profile than DHEA; limited human RCT evidence; weight management evidence from small trials; regulatory status varies.,No,Weight management,No,No,No,No,No,Unknown,Medium,Very limited independent RCT evidence; most studies industry-funded; perimenopause-specific outcomes not established.
Pregnenolone,as Pregnenolone; pregnenolone sulfate,Hormone,Limited,"Master steroid hormone precursor. Very limited human RCT evidence. Highly hormone-active as precursor to DHEA, progesterone, and corticosteroids. Regulatory concerns in UK.",10,100,mg,"Highly hormone-active — can convert to multiple sex hormones including oestrogen, progesterone, and testosterone; very limited human RCT evidence; regulatory status in UK uncertain; avoid in hormone-sensitive conditions and cancer.",No,Hormonal support,No,No,No,No,Yes,Unknown,High,Almost no reliable independent human RCT evidence; regulatory status and safety profile in UK poorly established.
Melatonin,as Melatonin; N-acetyl-5-methoxytryptamine; Circadin,Hormone,Strong,"Multiple RCTs and meta-analyses show melatonin effective for sleep onset, jet lag, and circadian rhythm disorders. Perimenopausal sleep disruption is a major indication. Circadin is licensed medicine in UK for >55 years. Low doses (0.5-1mg) may be equally effective as higher doses.",0.5,10,mg,Licensed as prescription medicine in UK above 1mg (Circadin); low doses (0.5-1mg) as effective as higher doses for sleep; exogenous melatonin may suppress endogenous production at high doses; take 30-60 minutes before desired sleep time; not recommended for under-18 without medical supervision.,Yes,Sleep onset,No,No,No,No,Yes,Unknown,Medium,Optimal dosing for perimenopausal sleep disruption specifically; long-term effects on endogenous melatonin production not established.
Lactobacillus acidophilus,L. acidophilus; as Lactobacillus acidophilus; NCFM; LA-5,Probiotic,Some,"RCTs support L. acidophilus for gut dysbiosis, vaginal health, and immune function. NCFM strain has most evidence for gut. LA-5 combined with Bifidobacteria widely studied. Some evidence for vaginal pH and infection prevention.",1000000000,50000000000,CFU,Strain specificity matters — benefits of one strain do not apply to all; refrigeration often required for viability; enteric coating improves survival through stomach acid; viability at time of consumption important (check CFU guarantee at expiry not manufacture).,No,Gut health,No,No,No,No,No,Yes,Low,Perimenopause-specific vaginal and gut microbiome RCTs are growing but underpowered.
Lactobacillus rhamnosus,L. rhamnosus; LGG; Lactobacillus rhamnosus GG; as Lactobacillus rhamnosus,Probiotic,Strong,LGG (GG strain) is one of the most studied probiotic strains globally. Strong evidence for prevention and treatment of antibiotic-associated diarrhoea. Some evidence for immune function and gut barrier integrity. Widely used clinically.,1000000000,20000000000,CFU,LGG (Culturelle) is most evidence-based strain; strain specificity critical; generally well tolerated; beneficial after antibiotic courses; effects are strain-specific — LGG evidence does not apply to all L. rhamnosus strains.,No,Gut health,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs with LGG for mood (gut-brain axis) and hormonal outcomes are limited.
Lactobacillus reuteri,L. reuteri; RC-14; DSM 17938; as Lactobacillus reuteri,Probiotic,Some,RC-14 strain (with L. rhamnosus GR-1) shows strong evidence for vaginal health and UTI prevention. DSM 17938 has infant colic evidence. RC-14 perimenopause relevance for vaginal microbiome.,1000000000,10000000000,CFU,Strain identity critical — RC-14 and DSM 17938 have completely different evidence bases; RC-14 combined with L. rhamnosus GR-1 for vaginal health is well-evidenced combination; refrigeration required.,Yes,Vaginal health,No,No,No,No,No,Yes,Low,Perimenopausal vaginal microbiome changes and probiotic intervention RCTs are an emerging but growing area.
Lactobacillus crispatus,L. crispatus; as Lactobacillus crispatus; LACTIN-V,Probiotic,Some,Dominant vaginal Lactobacillus species associated with healthy vaginal microbiome. LACTIN-V product has RCT evidence for BV prevention. Highly relevant for perimenopausal vaginal microbiome changes.,1000000000,10000000000,CFU,Natural dominant strain of healthy vaginal microbiome; colonisation challenging via oral route — may require vaginal delivery for local effect; LACTIN-V (vaginal capsule) is investigational product with RCT evidence for BV.,Yes,Vaginal microbiome,No,No,No,No,No,Yes,Low,Oral supplementation route efficacy for vaginal colonisation is uncertain; perimenopausal-specific RCTs are limited.
Lactobacillus gasseri,L. gasseri; SBT2055; as Lactobacillus gasseri,Probiotic,Some,SBT2055 strain has RCT evidence for abdominal fat reduction and weight management in overweight individuals. Vaginal health applications also studied. Perimenopause metabolic relevance.,1000000000,10000000000,CFU,SBT2055 strain most studied for metabolic outcomes; strain specificity critical; effects modest in RCTs; perimenopausal metabolic change relevance,Yes,Weight/metabolic,No,No,No,No,No,Yes,Low,Perimenopause-specific metabolic RCTs are limited; weight reduction effects modest.
Bifidobacterium longum,B. longum; BB536; as Bifidobacterium longum; NCIMBi 41676,Probiotic,Some,"RCTs show immune, allergy, and gut health benefits. BB536 strain has evidence for respiratory infections and allergy. Gut-brain axis evidence emerging. B. longum declines with age making supplementation more relevant in 40+ women.",1000000000,20000000000,CFU,BB536 is most-studied strain; Bifidobacterium species decline naturally with age — supplementation increasingly relevant in perimenopausal age group; strain specificity important.,Yes,Gut/immune health,No,No,No,No,No,Yes,Low,Perimenopausal gut-brain axis and mood outcome RCTs specifically are lacking.
Bifidobacterium breve,B. breve; BR03; as Bifidobacterium breve; Bif195,Probiotic,Limited,Limited RCT evidence for gut health and immune function. Some infant formula evidence. Limited standalone adult evidence for perimenopause applications.,1000000000,10000000000,CFU,Strain specificity critical; limited adult RCT evidence; often included in multi-strain probiotic blends.,No,Gut health,No,No,No,No,No,Yes,Low,Adult and perimenopause-specific standalone RCTs are very limited.
Bifidobacterium lactis,B. lactis; BB-12; as Bifidobacterium lactis; HN019,Probiotic,Strong,"BB-12 has strong RCT evidence for gut transit, immune function, and antibiotic-associated diarrhoea. HN019 has strong evidence for gut transit time. One of most-studied probiotic strains globally.",1000000000,25000000000,CFU,"BB-12 and HN019 are distinct strains with different evidence profiles; BB-12 has strongest commercial evidence base; generally very well tolerated; CFU dose important — ensure adequate dose at expiry date, not manufacture.",No,Gut transit/immune,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs for hormonal and vaginal microbiome outcomes are limited.
Saccharomyces boulardii,S. boulardii; as Saccharomyces boulardii; CNCM I-745; Florastor,Probiotic,Strong,Strong RCT and meta-analysis evidence for antibiotic-associated diarrhoea and C. diff prevention. Well tolerated. Yeast-based — not affected by antibiotics (unlike bacterial probiotics). Unique profile.,250,1000,mg,"Yeast not bacteria — not affected by antibiotic use, making it ideal during antibiotic courses; well tolerated; caution in immunocompromised patients; stored at room temperature unlike many bacterial probiotics.",No,Antibiotic diarrhoea,No,No,No,No,No,Yes,Low,Perimenopause-specific applications beyond gut health not studied in RCTs.
Inulin,Chicory inulin; FOS; as Inulin; prebiotic inulin; chicory root extract,Probiotic,Some,"RCTs show inulin improves gut microbiome composition (bifidobacterium growth), calcium absorption, and bowel function. Prebiotic activity well established. Some evidence for glucose and lipid metabolism.",2500,15000,mg,Start low and increase gradually to avoid gas and bloating; effective dose 5-10g/day; inulin and FOS are bifidogenic prebiotics; chicory root is main commercial source; synergistic with probiotic supplementation.,No,Gut prebiotic,No,No,No,No,No,Yes,Low,Perimenopause-specific microbiome and hormonal outcome RCTs are limited.
FOS,Fructooligosaccharides; FOS; as FOS; as Fructooligosaccharides; short-chain FOS; scFOS,Probiotic,Some,Similar evidence to inulin for gut microbiome and prebiotic activity. Some evidence for mineral absorption enhancement. Bifidogenic prebiotic effect well established.,2000,10000,mg,Similar profile to inulin; short-chain FOS (scFOS) may be better tolerated at higher doses than long-chain inulin; gas and bloating at higher doses common during adaptation.,No,Gut prebiotic,No,No,No,No,No,Yes,Low,Optimal dose and type for perimenopausal microbiome and hormonal metabolism are not established.
Beta-Glucan,"Oat beta-glucan; Barley beta-glucan; as Beta-Glucan; 1,3/1,4-beta-glucan",Probiotic,Strong,Strong EFSA-approved health claim for cholesterol reduction and blood glucose management. Excellent cardiovascular evidence. Immune modulation evidence from oat and yeast beta-glucans. Perimenopause cardiovascular relevance.,2000,6000,mg,"EFSA approved health claim at 3g/day for cholesterol reduction; oat and barley beta-glucans most evidence-based; yeast-derived beta-glucans (1,3/1,6) have different immune modulation evidence; soluble fibre mechanism; take with water or food.",Yes,Cholesterol reduction,No,No,No,No,No,Yes,Low,Perimenopause-specific cardiovascular outcome RCTs using beta-glucan supplementation are limited.
Psyllium Husk,Plantago ovata husk; as Psyllium Husk; Metamucil; isabgol,Probiotic,Strong,"Strong evidence for cholesterol reduction, bowel function, and glycaemic management. EFSA health claim approved. Well tolerated soluble fibre. Also classified as bulk laxative.",3500,30000,mg,Take with large amounts of water to prevent oesophageal obstruction; can interfere with absorption of medications — take separately from other medications/supplements by 2 hours; EFSA health claim for cholesterol at 7g/day.,No,Cholesterol/bowel,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs for combined gut and cardiovascular outcomes are limited.
Microcrystalline Cellulose,MCC; as Microcrystalline Cellulose; E460; Avicel,Excipient,None,Inert excipient derived from plant cellulose. No pharmacological activity. Used as tablet binder and filler. GRAS status. No health concerns at typical supplement use levels.,0,0,mg,No dose considerations as pharmacologically inactive excipient; GRAS (Generally Recognised As Safe); EU food additive E460.,No,None,No,No,No,No,No,Yes,Low,Not applicable — excipient with no therapeutic activity.
Magnesium Stearate,Magnesium stearate; as Magnesium Stearate; stearic acid,Excipient,None,Inert lubricant excipient. Claims that it impairs nutrient absorption (biofilm theory) are not supported by evidence. Used at very low levels in supplements (<2%). GRAS status.,0,0,mg,Used at <2% in supplements; no evidence of clinically significant absorption interference at typical use levels; anti-caking and flow agent in powder processing.,No,None,No,No,No,No,No,Yes,Low,Not applicable — excipient with no therapeutic activity; negative claims about absorption interference are not evidence-based.
Silicon Dioxide,Silica; as Silicon Dioxide; E551; amorphous silica,Excipient,None,Anti-caking agent excipient. Inert at supplement levels. Nanoparticle silicon dioxide is subject to growing regulatory scrutiny. EFSA reviewed safety.,0,0,mg,Used as anti-caking agent at very low levels; EFSA has reviewed nano-SiO2 safety; conventional amorphous silica considered safe at supplement use levels.,No,None,No,No,No,No,No,Yes,Low,Nanoparticle silicon dioxide safety under ongoing regulatory review; conventional form considered safe.
HPMC,Hydroxypropyl methylcellulose; as HPMC; hypromellose; Vcaps,Excipient,None,Plant-derived capsule material and coating agent. Suitable for vegetarians and vegans. Inert and well tolerated. GRAS status.,0,0,mg,Preferred capsule material for vegetarian/vegan formulations; HPMC capsules can slow release — may affect bioavailability of enclosed ingredients in some formulations.,No,None,No,No,No,No,No,Yes,Low,Not applicable — inert excipient.
Hydroxypropyl Cellulose,HPC; as Hydroxypropyl Cellulose; E463,Excipient,None,Tablet binding and film coating agent. Inert. GRAS status. No pharmacological activity.,0,0,mg,Inert excipient; used as binder in tablet manufacture and film coating; GRAS.,No,None,No,No,No,No,No,Yes,Low,Not applicable — inert excipient.
Gelatin,Bovine gelatin; Porcine gelatin; as Gelatin; hard shell capsule,Excipient,None,"Animal-derived capsule material. Not suitable for vegetarians, vegans, or halal/kosher unless certified. No pharmacological activity. Well tolerated.",0,0,mg,Not suitable for vegetarians or vegans; porcine gelatin not suitable for Muslim or Jewish consumers — check certification; conventional hard-shell capsule material.,No,None,No,No,No,No,No,Yes,Low,Not applicable — excipient; consumer labelling considerations important.
Stearic Acid,as Stearic Acid; octadecanoic acid,Excipient,None,Tablet lubricant. Inert at supplement use levels. Derived from animal or vegetable sources. No pharmacological activity.,0,0,mg,Check vegetable vs animal source for vegan suitability; used at very low levels as tablet lubricant.,No,None,No,No,No,No,No,Yes,Low,Not applicable — excipient.
Titanium Dioxide,as Titanium Dioxide; E171; CI 77891,Excipient,None,White coating/colouring agent. EFSA banned E171 in food in 2022 due to genotoxicity concerns. Not permitted in food in UK (post-Brexit regulations still under review). Regulatory risk HIGH.,0,0,mg,Post-2022: EFSA banned E171 in EU food in 2022 due to inability to rule out genotoxicity; UK Food Standards Agency reviewing; should be avoided in new supplement formulations — significant regulatory and consumer risk.,No,None,No,No,No,No,No,Unknown,High,Post-2022: EU food ban implemented; UK regulatory status under review — HIGH risk for inclusion in new formulations.
Maltodextrin,as Maltodextrin; corn maltodextrin; modified starch,Excipient,None,Starch-derived carrier and bulking agent. High glycaemic index. GRAS status. Common in powder formulations as carrier. No pharmacological activity.,0,0,mg,High glycaemic index - relevant for diabetic consumers; derived from corn rice or wheat - coeliac risk if wheat-derived; commonly used as spray-drying carrier for powdered extracts.,No,None,No,No,No,No,No,Yes,Low,Glycaemic concerns for diabetic perimenopausal consumers; wheat-derived versions carry coeliac risk.
Carrageenan,as Carrageenan; E407; Irish moss extract,Excipient,None,Emulsifier and thickener derived from red seaweed. Subject to ongoing regulatory debate — some animal studies raise gut inflammation concerns. IARC limited carcinogenicity classification for degraded form. Food-grade carrageenan considered safe by EFSA.,0,0,mg,EFSA considers food-grade carrageenan safe; degraded carrageenan (poligeenan) is not permitted in food; some consumer concern exists; avoidance in IBD patients may be prudent.,No,None,No,No,No,No,No,Yes,Low,Ongoing debate about gut inflammation effects; precautionary avoidance may be appropriate for gut health-focused supplements.
Shellac,as Shellac; E904; lac resin,Excipient,None,Natural resin from lac insects; used as enteric or delayed-release tablet coating. Not suitable for vegans. GRAS and EU approved. No pharmacological activity.,0,0,mg,Not suitable for vegans as derived from insects; used for enteric coating and extended release; may cause contact allergy in rare cases.,No,None,No,No,No,No,No,Yes,Low,Not applicable — excipient; vegan labelling considerations important.
